Property,Descriptions,中文名称,新描述
criteriaLogicalRelationship,Logical relation followed by all criteria.,标准逻辑关系,所有标准都遵循的逻辑关系。
groupName,Name of the group to be easily identified,组名称,便于识别的组的名称。
criteria,0,标准,促销活动需要满足的标准。
packingType,0,打包类型,文件的打包类型。
retentionPeriod,0,保留周期,数据的保留周期。
mailingDate,Customer bill mailing date.,邮寄日期,客户账单的邮寄日期。
creditDate,Date through which credits previously received by the billing system are displeyed on the bill.,贷项日期,在此日期之前收到的贷项会显示在账单上。
chargeDate,"Date through when a payment method (e.g. credit card,...) will be activated.",费用日期,支付方式（如信用卡）将被激活的日期。
billingDate,The billing/settlement date.,计费日期,计费或结算的日期。
appliedBillingRateType,"Type of the applied billing rate : appliedBillingCharge (any kind of charge except taxation charges : recurringCharge, oneTimeCharge, usageCharge),  appliedBillingCredit (any kind of credit : rebate or productAlteration) or appliedPenaltyCharge (penalty charges such as late fees, payment rejection fees,...)",已应用计费费率类型,已应用的计费费率类型，如“费用”、“贷项”或“罚金”。
periodCoverage,0,周期覆盖,计费周期的覆盖范围。
appliedTax,0,已应用税费,已应用的税费信息。
validPeriod,0,有效期,有效的时间段。
queryUsageConsumption,0,查询用量消耗,与实体相关的查询用量消耗请求。
criteriaValue,The value is filled for the comparison of the criteria.,标准值,用于标准比较的值。
criteriaParameter,The parameter (factor) of the criteria.The basic factors are abstracted from these data sources.There are several detail parameters.,标准参数,标准的参数（因子）。
criteriaOperator,Logic operator of this criteria instruction: '=' or '>' or '<' or '>=' or '<=' or '<>'.,标准操作符,此标准指令的逻辑操作符，例如 =、>、<。
matchingDegree,"Represents the matching degree between the search query and the target item, classified based on linguistic variables and matching rules. This attribute categorizes the degree of similarity into linguistic terms such as HighSimilarity, Medium Similarity, or LowSimilarity.",匹配度,表示搜索查询与目标项目之间的匹配程度，分为“高相似度”、“中相似度”等语言变量。
matchinRule,Indicates the matching rule that was applied to determine the matching degree for the target item. This attribute provides insight into the reasoning behind the assigned matching degree.,匹配规则,(应为matchingRule) 用于确定目标项目匹配度的匹配规则。
similarityScore,Represents the similarity score between the search query and the target item. This score quantifies the degree of similarity or match between the two.,相似度分数,量化搜索查询与目标项目之间相似度的分数。
userEquipment,0,用户设备(UE),与实体相关的用户设备。
productOfferingCharacteristic,"A characteristic quality or distinctive feature of a ProductOffering. The characteristic can take on a discrete value fixed at design (catalog authoring) time, such as Mobile Plan Rank, and is not generally modifiable at inventory level.",产品目录特征,可销售产品（Product Offering）的一个特征或独特属性，其值通常在设计时固定。
productOfferingRelationship,A relationship between this product offering and other product offerings.,产品目录关系,此可销售产品与其他可销售产品之间的关系。
quoteItemId,Identifier of a quote item. ,报价项ID,报价项的唯一标识符。
quoteId,Unique identifier of a refered quote.,报价单ID,被引用的报价单的唯一标识符。
accountNumber,The Bank Account Number (this could refer to the IBAN or SWIFT number),账号,银行账号（可以是IBAN或SWIFT号）。
BIC,The Business Identifier Code/Swift code of the financial institution where the account is located.,BIC/SWIFT代码,账户所在金融机构的业务标识符代码/SWIFT代码。
quoteHref,Reference of the related quote.,报价单链接,相关报价单的引用链接。
serviceLevelAgreement,0,服务等级协议(SLA),与实体相关的服务等级协议。
isSellable,A flag indicating if this product offer can be sold stand-alone for sale or not. If this flag is false it indicates that the offer can only be sold within a bundle.,是否可单独销售,一个布尔值，表明此产品目录是否可以单独销售（true），还是只能在组合包中销售（false）。
plaSpecId,id of corresponding PricingLogicAlgorithm specification,定价逻辑算法规约ID,对应的定价逻辑算法（PricingLogicAlgorithm）规约的ID。
partnerCatalogCategory,The partner catalog categories containing partner product offers made available for purchasing by Loyalty Program Members using loyalty rewards.,合作伙伴目录分类,包含合作伙伴产品目录的分类，这些产品可供忠诚度计划会员使用奖励进行购买。
closedLoopType,0,闭环类型,闭环流程的类型。
closedLoopGoalSpecification,0,闭环目标规约,与实体相关的闭环目标规约（模板）。
closeLoopGoalSpecification,0,闭环目标规约,（拼写错误，同上）与实体相关的闭环目标规约（模板）。
goal,0,目标,操作的目标。
whyInvoke,0,调用原因,调用操作的原因。
cartItemRelationship,0,购物车项关系,购物车项之间的关系。
characterisitc,0,特征,(应为characteristic) 对象的特征。
agreedByParty,0,协议方,同意协议的参与方。
applicableForParty,0,适用方,协议适用的参与方。
allowedRole,A list of roles in the organization who are allowed access to this characteristic,允许的角色,组织中允许访问此特征的角色列表。
privacyType,"Type of privacy (e.g. Internal Purpose, External Purpose, Internal Retention, External Retention)",隐私类型,隐私的类型，例如“内部目的”、“外部保留”。
bundledProductUsageSpecification,Relationship to Product specification in bundle,组合产品用量规约,在组合产品中，与产品规约的关系。
billCycle,0,计费周期,与实体相关的计费周期。
billNo,Bill reference known by the customer or the party and displayed on the bill. Could be different from the id,账单号,客户或参与方已知的、显示在账单上的参考号，可能与ID不同。
BillCycleSpecification,0,计费周期规约,（拼写错误，同billingCycleSpecification）与实体相关的计费周期规约（模板）。
businessRuleTriggerEvent,0,业务规则触发事件,触发业务规则的事件。
closedLoopRelationship,A list of intents related to this closedLoop,闭环关系,与此闭环相关的意图列表。
outputFormat,0,输出格式,输出文件的格式。
recurringDaySequence,0,重复日序列,重复的日期序列。
dayOfMonthRecurrence,0,按月重复,按月重复的计划。
closedLoopWorkflowPriority,0,闭环工作流优先级,闭环工作流的优先级。
dayOfWeek,"A day or days representing when the schedule is applicable. For example 2, 3 represent Monday and Tuesday.",星期,计划适用的星期几，例如 2， 3 代表周一和周二。
interactionRelationship,0,交互关系,交互之间的关系。
interactionItem,0,交互项,交互中的具体项目。
interactionItemType,"Classification and sub-classification. E.g. Case (type) (subtype/s) Ticket, Incident",交互项类型,交互项的分类和子分类，例如 案例 -> 工单 -> 事件。
interactionItemRelationship,0,交互项关系,交互项之间的关系。
resolution,Resolution of the interaction item,解决方案,交互项的解决方案。
itemDate,0,项目日期,项目的日期。
provideOnlyAvailable,An indicator which when the value is "true" means that only available product offering must be listed in the response,仅提供可用,一个布尔值，为true时表示响应中只应列出可用的产品目录。
checkProductOfferingQualificationItem,Qualification item for a product or a category,检查产品可提供性资格查询项,（拼写错误）产品或分类的资格查询项。
jobOnDemand,"True if the job is a single job to be executed immediately in which case the reportingPeriod and scheduleDefinition would not be applicable, false otherwise",按需任务,一个布尔值，为true时表示这是一个立即执行的单次任务。
searchTaskFilter,0,搜索任务过滤器,搜索任务的过滤器。
jobCollectionFilter,0,任务采集过滤器,任务采集的过滤器。
usageConsumption,Report with current counters and balances,用量消耗,包含当前计数器和余额的报告。
queryServiceQualification,0,查询服务资格,与实体相关的（异步）查询服务资格请求。
accountNumberType,"The type of account number (e.g.: IBAN, SWIFT, ...)",账号类型,账号的类型，例如 IBAN， SWIFT。
revenueSharingModelHref,Reference of the related entity.,收入分成模型链接,相关实体的引用链接。
reportingPeriod,0,报告周期,报告的时间周期。
offeringPrice,The PartyRevSharingModelItemInvolvement associated offering price(s),产品价格,与参与方收入分成模型项相关的产品价格。
sharingModelItemInvolvement,"The PartyRevSharingModelItem involvements revenue share item related to products, ProductOffings or productOffingPrices",分成模型项参与,收入分成模型项中，与产品、可销售产品或产品价格相关的分成参与信息。
partyRevSharingModelInvolPrice,0,参与方收入分成模型相关价格,与实体相关的参与方收入分成模型价格信息。
sharingReportItemIDetail,The PartyRevSharingReportItemDetail list revenue share details related to the specified partner,分成报告项详情,与指定合作伙伴相关的收入分成详情列表。
billPeriod,0,账单周期,账单的时间周期。
cdrTransactionItem,0,通信详单交易项,与实体相关的通信详单交易项。
partyRevSharingReportItem,The PartyRevSharingReportItem list revenue share details related to the specified partner,参与方收入分成报告项,与指定合作伙伴相关的收入分成详情列表。
extract,0,提取任务,与实体相关的提取任务。
relatedCapacitySpecification,related capacity specification.,关联容量规约,相关的容量规约（模板）。
capacityCharacteristicSpecification,"A characteristic quality or distinctive feature of a CapacitySpecification. The characteristic can be take on a discrete value, such as color, can take on a range of values, or can be derived from a formula. Can be used to define the details of how Capacities of the described type are managed, i.e. consumed, refilled, checked for availability.",容量规约特征,容量规约的一个特征或独特属性。
relatedCapacity,related capacity.,关联容量,相关的容量。
capacityCharacteristic,"A characteristic quality or distinctive feature of a Capacity. The characteristic can be take on a discrete value, such as color, can take on a range of values, or can be derived from a formula. Can be used to define the details of how Capacities of the described type are managed, i.e. consumed, refilled, checked for availability.",容量特征,容量的一个特征或独特属性。
loyaltyExecutionPoint,0,忠诚度执行点,与实体相关的忠诚度执行点。
criticalityLevel,"Level of criticality for this characteristic of personal identifiable information (e.g. in terms of the damage if this item was breached), such as low, medium, high.",关键性级别,个人可识别信息特征的关键性级别（例如，信息泄露时的损害程度），如“低”、“中”、“高”。
applicableRole,"A list of roles to which this specification can apply. For example: Shop Agent, Call Center Agent.",适用角色,此规约可适用的角色列表，例如“门店代理”、“呼叫中心座席”。
needsLoyaltyAccount,"Indicator if a loyaltyAccount is required for the program as in some instances programs may reward with business interactions, offers only and therefore would not need an account for points or virtual currency balances.",是否需要忠诚度账户,一个布尔值，表明此忠诚度计划是否需要忠诚度账户来记录积分。
partnerCatalogOffer,The partner catalog offers exposed to Loyalty Program Members for purchasing using Loyalty Rewards.,合作伙伴目录产品,向忠诚度计划会员展示的、可使用忠诚度奖励购买的合作伙伴目录产品。
resourceUsageSpecRelationship,"A list of resource usage specifications related to this specification, e.g. migration, substitution, dependency or exclusivity relationship",资源使用量规约关系,与此规约相关的其他资源使用量规约的列表，例如迁移、替代、依赖关系。
capacityAmountTo,0,容量上限,容量的上限值。
capacityAmountFrom,0,容量下限,容量的下限值。
capacityAmount,0,容量大小,容量的具体数值。
capacityStatus,0,容量状态,容量的状态。
availabilityCheck,0,可用性检查,与实体相关的可用性检查。
fromToDateTime,0,起止日期时间,起始和结束的日期时间。
pooledResource,Array of resources contained in this Pool. Could be a ResourceCollection.,池化资源,此资源池中包含的资源数组。
pooledResourceSpecification,0,池化资源规约,与实体相关的池化资源规约（模板）。
capacity,Specific ability of an entity measured in quantity and units of quantity over an extended period.,容量,一个实体在一段时间内以数量和单位衡量的特定能力。
push,0,推送任务,与实体相关的推送任务。
cdrCharacteristic,0,通信详单特征,通信详单（CDR）的特征。
cdrType,Type of cdr,CDR类型,通信详单（CDR）的类型。
revenueSharingModelName,Name of the related revenue sharing model.,收入分成模型名称,相关收入分成模型的名称。
involPriceId,Id of a price of a revenue sharing model item,相关价格ID,收入分成模型项中价格的ID。
revenueSharingModelItemId,Unique identifier of a related revenue sharing model item.,收入分成模型项ID,相关收入分成模型项的唯一标识符。
transactionItemId,Id of an item of a Cdr transaction,交易项ID,通信详单交易中项目的ID。
transactionId,Unique identifier of a related entity.,交易ID,相关实体的唯一标识符。
transactionHref,Reference of the related entity.,交易链接,相关实体的引用链接。
policyConditionVariable,0,策略条件变量,策略条件中使用的变量。
policyActionVariable,0,策略动作变量,策略动作中使用的变量。
actionVariable,The policy action variables of the policy to calculate revenue share,动作变量,用于计算收入分成的策略动作变量。
conditionVariable,The policy condition variables of the policy to calculate revenue share,条件变量,用于计算收入分成的策略条件变量。
cdr,0,通信详单记录(CDR),与实体相关的通信详单记录。
transactionItem,0,交易项,交易中的具体项目。
applicableTimePeriod,The period of time for which Capacity or CapacityDemand applies.,适用时间段,容量或容量需求适用的时间段。
tier,The member tier based on tiered loyalty program rules,等级/会员级别,基于分级忠诚度计划规则的会员等级。
relatedProductSpecification,The related product specification may relate to more than one product specification.,关联产品规格,相关的产品规格，可能关联多个。
productTestSpecRelationship,"A list of product test specifications related to this specification e.g. dependency, substitution",产品测试规约关系,与此规约相关的其他产品测试规约的列表，例如依赖、替代关系。
productTest,0,产品测试,与实体相关的产品测试。
incidentRef,"An Incident is a record of an event that has altered the operational state of a entity (Resource, Service or Customers Product).",事件引用,事件是改变了实体（资源、服务或客户产品）运行状态的事件记录。
relatedProduct,0,关联产品,相关的产品。
productUsageSpecRelationship,"A list of product usage specifications related to this specification, e.g. migration, substitution, dependency or exclusivity relationship",产品使用量规约关系,与此规约相关的其他产品使用量规约的列表，例如迁移、替代、依赖关系。
eligibilityResultReason,"A list of eligibility result reasons (EligibilityResultReason [*]). Reason for eligibility result, whatever the result is (availability or unavailability).",资格校验结果原因,资格校验结果的原因列表，无论结果是可用还是不可用。
partyRoleProductOfferingRiskAssessment,0,参与方角色产品目录风险评估,与实体相关的参与方角色产品目录风险评估。
workOrderId,Unique identifier of a related entity.,工单ID,相关实体的唯一标识符。
workOrderHref,Reference of the related entity.,工单链接,相关实体的引用链接。
shoppingCartRiskAssessment,0,购物车风险评估,与实体相关的购物车风险评估。
productOrderRiskAssessment,0,产品订单风险评估,与实体相关的产品订单风险评估。
productOfferingRiskAssessment,0,产品目录风险评估,与实体相关的产品目录风险评估。
partyRoleRiskAssessment,0,参与方角色风险评估,与实体相关的参与方角色风险评估。
ratedCdr,0,已计费通信详单,与实体相关的已计费通信详单记录。
cdrDirectionType,0,通信详单方向类型,通信详单（CDR）的方向。
quoteTotalPrice,Quote total price,报价单总价,报价单的总价格。
relatedService,0,关联服务,相关的服务。
originatorParty,0,发起方,操作的发起方。
bundledServiceUsageSpecification,Relationship to Service specification in bundle,组合服务用量规约,在组合产品中，与服务规约的关系。
serviceUsageSpecRelationship,"A list of service usage specifications related to this specification, e.g. migration, substitution, dependency or exclusivity relationship",服务使用量规约关系,与此规约相关的其他服务使用量规约的列表，例如迁移、替代、依赖关系。
bundledServiceUsage,Relationship to Service Usage in bundle,组合服务用量,在组合产品中，与服务用量的关系。
subDomainRef,"List of child PolicyDomains. PolicyDomain can have many child Policy Domains, but one child PolicyDomain can only have one parent PolicyDomain",子域引用,子策略域的列表。
scopedManagedEntity,List of entities to which this PolicyDomain applies,范围内的受管实体,此策略域适用的实体列表。
workRelationshipCharacteristic,Work relationship characteristics,工作关系特征,工作关系的特征。
workOrderItemRelationship,Work Order Item Relationship,工单项关系,工单项之间的关系。
workOrderRelationship,Work order relationship,工单关系,工单之间的关系。
relatedProductOrder,Product Order Reference,关联产品订单,相关的产品订单引用。
bundledResourceUsageSpecification,Relationship to Resource specification in bundle,组合资源用量规约,在组合产品中，与资源规约的关系。
bundledResourceUsage,Relationship to Resource Usage in bundle,组合资源用量,在组合产品中，与资源用量的关系。
testMeasureCharacteristic,A list of additional characteristics that characterize this test measurement (usageCharacteristic [*]) ,测试度量特征,描述此测试度量的额外特征列表。
productTestSpecification,0,产品测试规约,与实体相关的产品测试规约（模板）。
shipmentTracking,0,货运跟踪,货运的跟踪信息。
shipmentPrice,0,货运价格,货运的价格。
shipmentItem,List of items that are part of the shipment (parcel/package),货运项,作为货运一部分的项目列表。
shipmentCharacteristic,List of characteristics with values,货运特征,带有值的货运特征列表。
requestedDeliveryDate,The date requester by the sender for shipment delivery,期望交付日期,发件人请求的货物交付日期。
expectedDeliveryDate,The date that the shipment will be delivered,预计交付日期,货物将被交付的预计日期。
alarmRaisedTime,Indicates the time (as a date + time) at which the alarm occurred at its source.,告警触发时间,告警在其源头发生的日期和时间。
modifyPath,A list of modification items provided for the service update when serviceOrderItem action is modify,修改路径,当服务订单项动作为“修改”时，为服务更新提供的修改项列表。
serviceOrderItemRelationship,A list of order items related to this order item,服务订单项关系,与此订单项相关的其他订单项列表。
orderCharacteristic,A list of characteristics that characterize this order ,订单特征,描述此订单的特征列表。
orderSpecification,0,订单规约,与实体相关的订单规约（模板）。
salesOpportunityItemStatus,0,销售机会项状态,销售机会项的状态。
salesOpportunityItem,0,销售机会项,与实体相关的销售机会项。
cdrDate,Date of cdr,CDR日期,通信详单（CDR）的日期。
specificationRelationship,0,规约关系,规约之间的关系。
party,0,参与方,与实体相关的参与方。
underlyingProblem,A list of underlying problems. Relevant only if this problem is derived from other problems.,底层问题,此问题所源自的底层问题列表。
slaViolation,A List of SLA violations associated with this problem.,SLA违约,与此问题关联的SLA违约列表。
underlyingAlarm,A list of alarms underlying this problem.,底层告警,构成此问题的底层告警列表。
serviceTestSpecification,0,服务测试规约,与实体相关的服务测试规约（模板）。
relatedServiceSpecification,The related service specification may relate to more than one service specification.,关联服务规约,相关的服务规约，可能关联多个。
serviceTestSpecRelationship,"A list of service test specifications related to this specification e.g. dependency, substitution",服务测试规约关系,与此规约相关的其他服务测试规约的列表，例如依赖、替代关系。
parent,0,父级,在层级结构中，指向父级对象的引用。
affectedNumberOfServices,Number of affected services,受影响服务数量,受事件影响的服务的数量。
prospectContact,0,潜在客户联系人,潜在客户的联系信息。
salesLeadType,Indicates the nature of the salesLead,销售线索类型,表明销售线索的性质，例如来自“网络表单”或“展会”。
contactMediumIdentifier,Identifier for this contact medium.,联系方式标识符,此联系方式的标识符。
workforceEmployee,0,现场员工,与实体相关的现场服务员工。
skillType,"Ex: primarySkill, secondarySkill",技能类型,技能的类型，例如“主要技能”、“次要技能”。
shipmentSpecification,0,货运规约,与实体相关的货运规约（模板）。
relatedShipment,A list of existing shipments that has some form of correlation with the given shipment,关联货运,与给定货运有某种形式关联的现有货运列表。
collectionDate,The date the package was collected from the carrier (Collection scenario),揽收日期,包裹被承运商揽收的日期。
deliveryDate,Is the date at which the shipment was completed (customer has taken ownership of the package),派送日期,货运完成（客户已签收包裹）的日期。
salesTask,0,销售任务,与实体相关的销售任务。
packageType,The type of packaging,包裹类型,包裹的包装类型。
labelMessage,Shipping delivery message label,标签消息,货运交付的标签消息。
insuredValue,0,保价金额,货物的投保价值。
deliveryTimeSlot,0,派送时间槽,派送的时间段。
deliveryAttempts,Shipping delivery attempts that should be performed,派送尝试次数,应执行的货运派送尝试次数。
deliverySpeed,"Shipping delivery speed, same day, next day, next business day, etc",派送速度,货运的派送速度，例如“当日达”、“次日达”。
carrierServiceCode,"The service code used by the carrier to ship the package, royal mail ground, royal mail first class, etc",承运商服务代码,承运商用于运输包裹的服务代码，例如“顺丰标快”。
carrierName,The carrier name,承运商名称,承运商的名称。
carrierId,The carrier identifier,承运商ID,承运商的标识符。
shippingType,"The shipping type, e.g. thick_envelope, small_flat_rate_box, large_package, etc.",运输类型,运输的类型，例如“厚信封”、“小号标准箱”。
shipmentItemPrice,0,货运项价格,货运项的价格。
productStockRef,0,产品库存引用,用于简要引用一个产品的库存记录。
salesOpportunityType,Indicates the nature of the SalesOpportunity,销售机会类型,表明销售机会的性质。
policyEvent,0,策略事件,与实体相关的策略事件。
productReservationRef,0,产品预留引用,用于简要引用一次产品库存的预留记录。
externalReferenceType,Type of the external reference,外部引用类型,外部引用的类型。
processFlowSpecificationRef,0,流程规约引用,用于简要引用一个预先定义好的流程模板。
shippingOrderItemPrice,0,发货单项价格,发货单项的价格。
shipment,0,货运,与实体相关的货运。
shippingOrderItemOffer,0,发货单项产品目录,发货单项相关的可销售产品（Product Offering）。
shippingOrderOffering,0,发货单产品目录,发货单相关的可销售产品（Product Offering）。
shippingOrderPrice,0,发货单价格,发货单的价格。
shippingOrderCharacteristic,A list of characteristics that characterize this order ,发货单特征,描述此发货单的特征列表。
shippingOrderItem,A list of shipping order items. Each shipping order item has a corresponding Shipment(e.g. parcel) which has one or multiple products in it,发货单项,发货单中的项目列表，每个项目对应一个包裹，包裹中可包含一个或多个产品。
productOrderRef,0,产品订单引用,用于简要引用一个产品订单。
signatureRequiredBy,0,签收要求,签收要求类型，例如“成人签收”。
signatureRequired,0,是否需要签收,一个布尔值，表明货运是否需要签名才能完成。
receiptConfirmation,"Delivery confirmation required for the shipment (none, signature, over18Signature)",收货确认,货运所需的交付确认方式（“无”、“签名”、“18岁以上签名”）。
warehouseId,The identification of the warehouse that the shipment is being shipped from.,仓库ID,货物发出的仓库的标识。
unackProblem,"The problems that were unacknowledged, populated in the output to this task",未确认问题,被取消确认的问题，在此任务的输出中填充。
problemAcknowledgement,0,问题确认,与实体相关的问题确认操作。
ackProblem,"The problems that were acknowledged, populated in the output to this task",已确认问题,已被确认的问题，在此任务的输出中填充。
itemType,This indicates whether the action led to the bucket being incremented or decremented.eg credit or debit,项目类型/操作类型,表明此动作是导致资源桶增加（credit）还是减少（debit）。
amountAfter,0,操作后金额,操作执行后的金额或余额。
amountBefore,0,操作前金额,操作执行前的金额或余额。
containedResource,The Resource members of the collection.,包含的资源,集合中所包含的资源成员。
biometricType,"a biometric type like finger, iris, face, etc... ",生物特征类型,生物特征的类型，例如“指纹”、“虹膜”、“人脸”等。
customer360,0,客户360视图,与实体相关的客户360视图。
taskFlowSpecificationRef,0,任务流规约引用,用于简要引用一个预先定义好的任务流模板。
taskFlowRelationship,A list of taskFlows related to this taskFlow,任务流关系,与此任务流相关的其他任务流的列表。
processFlowSpecification,Specification of the processFlow.,流程规约,流程的规约（模板）。
observedValue,The measurement value,观测值,度量的观测值。
policyVariable,0,策略变量,与实体相关的策略变量。
policyOperator,0,策略操作符,与实体相关的策略操作符。
policyExpression,0,策略表达式,与实体相关的策略表达式。
subCategory,"The category resource is used to group product offerings, service and resource candidates in logical containers. Categories can contain other (sub-)categories and/or product offerings.",子分类,当前分类下的子分类。
endpointSpecification,Specifications for resource graph vertices connected by this edge.,端点规约,由此“边”连接的资源图谱“顶点”（即端点）的规约。
associationType,Association type.,关联类型,关联的类型。
serviceSpecRelationship,"A list of service specification relationships related to this specification, e.g. migration, substitution, dependency or exclusivity relationship",服务规约关系,与此规约相关的其他服务规约的列表，例如迁移、替代、依赖关系。
serviceLevelSpecification,"A list of service level specifications related to this service specification, and which will need to be satisifiable for corresponding service instances; e.g. Gold, Platinum",服务等级规约,与此服务规约相关的服务等级规约列表，例如“金牌”、“铂金”。
serviceCategory,0,服务分类,与实体相关的服务分类。
clientId,"OAuth2 Client ID: A public identifier for apps. Even though it is public, it is best that it is not guessable by third parties, so many implementations use something like a 32-character hex string. DEPRECATED in the POST and the PATCH, this attribute can't be valued by the API consumer in this context.",客户端ID (已弃用),（已弃用）OAuth2客户端ID，是应用的公共标识符。
statusChangeHistory,The status change history that are associated to the ticket. Populated by the server,状态变更历史,与故障单关联的状态变更历史记录。
productOrderMilestone,0,产品订单里程碑,与实体相关的产品订单里程碑。
productOrderJeopardyAlert,0,产品订单风险告警,与实体相关的产品订单风险告警。
productOrderErrorMessage,0,产品订单错误消息,与实体相关的产品订单错误消息。
productSpecCharacteristicValue,A number or text that can be assigned to a ProductSpecificationCharacteristic.,产品规格特征值,可分配给产品规格特征的一个数值或文本。
policyDomainFilter,0,策略域过滤器,策略域的过滤器。
application,0,应用,与实体相关的应用。
rootCauseService,Service(s) that are associated to the underlying service problems that are the Root Cause of this one if any (used only if applicable),根因服务,与构成此问题根源的底层服务问题相关的服务。
rootCauseResource,Resource(s) that are associated to the underlying service problems that are the Root Cause of this one if any (used only if applicable).,根因资源,与构成此问题根源的底层服务问题相关的资源。
actionValue,"When the Promotion type is 1: Award, it means the amount or value of the awards decided by actionType, such as: Amount of gift, Amount of bonus, Value of discount;  
 • When the Promotion type is 2: Discount, it means the value of the discount;  
 • When the Promotion type is 3: reduction, it means the value of the reduced money.",动作值,促销活动中利益的价值，例如折扣的金额、赠送的流量大小。
actionType,"Action type can be one of the following: voice (minute), data (MB), data (GB), SMS, bonus point, physical gift, voucher, promotion code, an existing offering, currency.",动作类型,促销活动中利益的类型，例如“语音（分钟）”、“数据（MB）”、“积分”、“代金券”。
actionEntityRef,0,动作实体引用,动作实体的引用。
pattern,0,模式,用于匹配的模式。
compressionType,0,压缩类型,文件的压缩类型。
fileFormat,0,文件格式,文件的格式。
fileLocation,0,文件位置,文件的位置。
stringArray,0,字符串数组,字符串数组。
filterTemplate,0,过滤模板,过滤器的模板。
mappings,0,映射,映射关系。
apiType,0,API类型,API的类型。
uriQueryFilter,0,URI查询过滤器,URI的查询过滤器。
uri,URI for using the data access API,URI,用于使用数据访问API的URI。
expressionSpecification,0,表达式规约,表达式的规约（模板）。
intentReport,0,意图报告,与实体相关的意图报告。
biometricSubType,"a biometric sub type when required like for finger: thumb, index, ring , pinkyFinger, etc ",生物特征子类型,当需要时，生物特征的子类型，例如指纹的“拇指”、“食指”。
productOfferingTermOrConditionApproval,0,产品目录条款审批,与实体相关的产品目录条款审批。
applicationLegalBasisForInputData,0,应用输入数据的法律依据,应用输入数据的法律依据。
process,Lists all the operations or 'processing' performed on data by the data consumer.,处理过程,列出了数据消费者对数据执行的所有操作或“处理”。
purposeReason,"Explain the reason justifying the purpose, indicating specifically which is the reason why the API is employed as part of the application's use case.",目的原因,解释证明目的合理性的原因，特别是说明为何API被用作应用用例的一部分。
userConsentScreenshot,0,用户同意截图,用户同意的截图。
approvalDate,Date of the approval.,批准日期,批准的日期。
completionMethod,TaskFlow completion method.,完成方法,任务流的完成方法。
processFlowDate,Is the date when the processFlow was created in basse (timestamp),流程创建日期,流程被创建的日期（时间戳）。
securityPrincipalRef,0,安全主体引用,用于简要引用一个安全主体（如用户、服务账户）。
scope,"One or several scopes of the API, as stated in the API that has been purchased. Examples: ""sim-swap:retrieve-date"" ",范围,API的一个或多个范围（Scope），定义了API被授权执行的操作，例如sim-swap:retrieve-date。
grantType,"One or several grantType of the API, as stated in the API that has been purchased. Examples:  ""authorization_code""   ""client_credentials""   ""urn:ietf:params:oauth:grant-type:token-exchange""   ""urn:ietf:params:oauth:grant-type:jwt-bearer""   ""urn:ietf:params:oauth:grant-type:saml2-bearer""   ""urn:ietf:params:oauth:grant-type:device_code""   ""urn:openid:params:grant-type:ciba""",授权类型,API的一个或多个授权类型（Grant Type），定义了获取访问令牌的方式，例如client_credentials。
legalBasis,0,法律依据,数据处理的法律依据。
cancelProductOrder,0,取消产品订单,与实体相关的取消产品订单请求。
isMandatory,Indicate mandatory TaskFlow.,是否强制,一个布尔值，表明一个任务流是否为强制执行。
checkCredential,0,检查凭证,与实体相关的检查凭证请求。
monitoredObjectClass,A monitored object class for specifying the set of instances that are referenced by a PM query.,被监控对象类,用于指定性能度量查询所引用的实例集合的被监控对象类。
commentedAlarm,The successfully commented alarms,已备注告警,已成功添加备注的告警。
score,List of scores for the specific risk criteria that are relevant for the risk assessment,评分,与风险评估相关的特定风险标准的评分列表。
workOrder,0,(现场)工单,与实体相关的现场工单。
commentAlarm,0,告警备注,与实体相关的告警备注操作。
threshold,0,阈值,相关的阈值信息。
userId,Indicates the user commenting the alarm.,用户ID,对告警进行备注的用户的ID。
orderItem,0,订单项,与实体相关的订单项。
clearAlarm,0,告警清除,与实体相关的告警清除操作。
performanceMeasurement,0,性能度量,与实体相关的性能度量。
ackAlarm,0,告警确认,与实体相关的告警确认操作。
ackedAlarm,The successfully acknowledged alarms,已确认告警,已成功确认的告警。
CancelServiceOrder,0,取消服务订单,（应为cancelServiceOrder）与实体相关的取消服务订单请求。
taskFlowSpecification,Reference of the TaskFlowSpecification,任务流规约,预定义的任务流规约（模板）的引用。
alternateProductOfferingProposal,Collection of alternate product offerings,备选产品建议,备选的可销售产品（Product Offering）建议集合。
qualificationItemResult,"Qualification result for this checkProductOfferingQualification item. It could be qualified (request productOffering or productSpecification are available), unqualified (requested not available and not alternate available), alternate (requested not available but alternate proposal available)",资格查询项结果,此检查产品可提供性资格查询项的结果：“合格”、“不合格”或“有备选方案”。
qualifiedProductOfferingItem,Qualification item for a product or a category,合格的产品目录项,产品或分类的资格查询项。
monitoredObjectInstances,0,被监控对象实例,被监控的对象实例。
billDocument,0,账单文件,账单的文件信息。
billDate,"Bill date, external customer view (in consequence: different to the production date of the bill)",账单日期,账单上显示的、面向客户的日期。
appliedPayment,"Applied payment is a payment associated with the bill. There may be a partial payment, then there should be several applied payments available. On the other hand, more than one bill could be payed by one payment. In general there is an n:m relation between payment and bill.",已应用付款,与账单关联的付款。一笔账单可能对应多笔部分付款，一笔付款也可能用于支付多笔账单。
amountDue,0,应付金额,到期应付的金额。
nextBillDate,). Approximate date of  the next bill production given for information (only used/meaningful for on cycle / regular bills),下次账单日期,下次账单生成的大致日期（仅用于参考）。
