Schema,Descriptions,中文名称,新描述
TestDataInstanceStateChangeEvent,The notification data structure,测试数据实例状态变更事件,当一个测试数据实例的状态发生变化时，系统发出的通知事件。
TestDataInstanceAttributeValueChangeEventPayload,The event data structure,测试数据实例属性值变更事件数据,测试数据实例属性值变更事件所携带的具体数据内容。
TestDataInstanceAttributeValueChangeEvent,The notification data structure,测试数据实例属性值变更事件,当一个测试数据实例的属性值发生变化时，系统发出的通知事件。
TestDataInstanceDeleteEventPayload,The event data structure,测试数据实例删除事件数据,测试数据实例删除事件所携带的具体数据内容。
TestDataInstanceDeleteEvent,The notification data structure,测试数据实例删除事件,当一个测试数据实例被删除时，系统发出的通知事件。
TestDataInstanceChangeEventPayload,The event data structure,测试数据实例变更事件数据,测试数据实例变更事件所携带的具体数据内容。
TestDataInstanceChangeEvent,The notification data structure,测试数据实例变更事件,当一个测试数据实例发生变更时，系统发出的通知事件。
TestDataInstanceCreateEventPayload,The event data structure,测试数据实例创建事件数据,测试数据实例创建事件所携带的具体数据内容。
TestDataInstanceCreateEvent,The notification data structure,测试数据实例创建事件,当一个测试数据实例被创建时，系统发出的通知事件。
TestDataSchemaDefinition,Test data schema definition,测试数据结构定义,测试数据结构的定义或模板。
TestDataSchema,A managed test data schema resource,测试数据结构,一个受管理的测试数据结构（Schema）资源。
CatalogBatchEventPayload,The event data structure,目录批处理事件数据,目录批处理事件所携带的具体数据内容。
CatalogBatchEvent,The notification data structure,目录批处理事件,当对目录进行批量操作时，系统发出的通知事件。
CatalogDeleteEventPayload,The event data structure,目录删除事件数据,目录删除事件所携带的具体数据内容。
NonFunctionalTestResultDefinition,Non-functional test result definition,非功能性测试结果定义,非功能性测试结果的定义或模板。
NonFunctionalTestResult,A managed non-functional test result resource,非功能性测试结果,一个受管理的非功能性测试结果资源。
NonFunctionalTestExecutionRefOrValue,,非功能性测试执行引用或值,一个灵活的模型，既可以包含一个完整的非功能性测试执行信息，也可以只包含对一个已存在执行的引用。
NonFunctionalTestExecutionRef,A reference to a non-funcitonal test execution,非功能性测试执行引用,用于简要引用一次非功能性测试的执行。
TestDataSchemaStateChangeEventPayload,The event data structure,测试数据结构状态变更事件数据,测试数据结构状态变更事件所携带的具体数据内容。
TestDataSchemaStateChangeEvent,The notification data structure,测试数据结构状态变更事件,当一个测试数据结构的状态发生变化时，系统发出的通知事件。
TestDataSchemaAttributeValueChangeEventPayload,The event data structure,测试数据结构属性值变更事件数据,测试数据结构属性值变更事件所携带的具体数据内容。
TestDataSchemaAttributeValueChangeEvent,The notification data structure,测试数据结构属性值变更事件,当一个测试数据结构的属性值发生变化时，系统发出的通知事件。
TestDataSchemaDeleteEventPayload,The event data structure,测试数据结构删除事件数据,测试数据结构删除事件所携带的具体数据内容。
TestDataSchemaDeleteEvent,The notification data structure,测试数据结构删除事件,当一个测试数据结构被删除时，系统发出的通知事件。
TestSuiteExecutionRefOrValue,,测试套件执行引用或值,一个灵活的模型，既可以包含一个完整的测试套件执行信息，也可以只包含对一个已存在执行的引用。
TestSuiteExecutionRef,A reference to a test suite execution,测试套件执行引用,用于简要引用一次测试套件的执行。
TestCaseResultDefinition,Test case result definition,测试用例结果定义,测试用例结果的定义或模板。
TestCaseResult,A managed test case result resource,测试用例结果,一个受管理的测试用例结果资源。
TestCaseExecutionRefOrValue,,测试用例执行引用或值,一个灵活的模型，既可以包含一个完整的测试用例执行信息，也可以只包含对一个已存在执行的引用。
TestCaseExecutionRef,A reference to a test case execution,测试用例执行引用,用于简要引用一次测试用例的执行。
TestSuiteResultCreateEvent,The notification data structure,测试套件结果创建事件,当一个测试套件结果被创建时，系统发出的通知事件。
TestCaseResultDeleteEventPayload,The event data structure,测试用例结果删除事件数据,测试用例结果删除事件所携带的具体数据内容。
TestCaseResultDeleteEvent,The notification data structure,测试用例结果删除事件,当一个测试用例结果被删除时，系统发出的通知事件。
TestCaseResultChangeEventPayload,The event data structure,测试用例结果变更事件数据,测试用例结果变更事件所携带的具体数据内容。
TestCaseResultChangeEvent,The notification data structure,测试用例结果变更事件,当一个测试用例结果发生变更时，系统发出的通知事件。
TestCaseResultCreateEventPayload,The event data structure,测试用例结果创建事件数据,测试用例结果创建事件所携带的具体数据内容。
TestCaseResultCreateEvent,The notification data structure,测试用例结果创建事件,当一个测试用例结果被创建时，系统发出的通知事件。
TestSuiteResultDefinition,Test suite result definition,测试套件结果定义,测试套件结果的定义或模板。
TestSuiteResult,A managed test case result resource,测试套件结果,一个受管理的测试套件结果资源。
CatalogDeleteEvent,The notification data structure,目录删除事件,当一个目录被删除时，系统发出的通知事件。
CatalogStateChangeEventPayload,The event data structure,目录状态变更事件数据,目录状态变更事件所携带的具体数据内容。
CatalogStateChangeEvent,The notification data structure,目录状态变更事件,当一个目录的状态发生变化时，系统发出的通知事件。
CatalogAttributeValueChangeEventPayload,The event data structure,目录属性值变更事件数据,目录属性值变更事件所携带的具体数据内容。
CatalogAttributeValueChangeEvent,The notification data structure,目录属性值变更事件,当一个目录的属性值发生变化时，系统发出的通知事件。
CatalogCreateEventPayload,The event data structure,目录创建事件数据,目录创建事件所携带的具体数据内容。
CatalogCreateEvent,The notification data structure,目录创建事件,当一个目录被创建时，系统发出的通知事件。
TestEnvironmentAllocationExecutionStateChangeEvent,The notification data structure,测试环境分配执行状态变更事件,当一个测试环境分配执行的状态发生变化时，系统发出的通知事件。
TestEnvironmentAllocationExecutionDeleteEventPayload,The event data structure,测试环境分配执行删除事件数据,测试环境分配执行删除事件所携带的具体数据内容。
TestEnvironmentAllocationExecutionDeleteEvent,The notification data structure,测试环境分配执行删除事件,当一个测试环境分配执行被删除时，系统发出的通知事件。
TestEnvironmentAllocationExecutionCreateEventPayload,The event data structure,测试环境分配执行创建事件数据,测试环境分配执行创建事件所携带的具体数据内容。
TestEnvironmentAllocationExecutionCreateEvent,The notification data structure,测试环境分配执行创建事件,当一个测试环境分配执行被创建时，系统发出的通知事件。
NonFunctionalTestResultDeleteEventPayload,The event data structure,非功能性测试结果删除事件数据,非功能性测试结果删除事件所携带的具体数据内容。
NonFunctionalTestResultDeleteEvent,The notification data structure,非功能性测试结果删除事件,当一个非功能性测试结果被删除时，系统发出的通知事件。
NonFunctionalTestResultChangeEventPayload,The event data structure,非功能性测试结果变更事件数据,非功能性测试结果变更事件所携带的具体数据内容。
NonFunctionalTestResultChangeEvent,The notification data structure,非功能性测试结果变更事件,当一个非功能性测试结果发生变更时，系统发出的通知事件。
NonFunctionalTestResultCreateEventPayload,The event data structure,非功能性测试结果创建事件数据,非功能性测试结果创建事件所携带的具体数据内容。
NonFunctionalTestResultCreateEvent,The notification data structure,非功能性测试结果创建事件,当一个非功能性测试结果被创建时，系统发出的通知事件。
TestSuiteResultDeleteEventPayload,The event data structure,测试套件结果删除事件数据,测试套件结果删除事件所携带的具体数据内容。
TestSuiteResultDeleteEvent,The notification data structure,测试套件结果删除事件,当一个测试套件结果被删除时，系统发出的通知事件。
TestSuiteResultChangeEventPayload,The event data structure,测试套件结果变更事件数据,测试套件结果变更事件所携带的具体数据内容。
TestSuiteResultChangeEvent,The notification data structure,测试套件结果变更事件,当一个测试套件结果发生变更时，系统发出的通知事件。
TestSuiteResultCreateEventPayload,The event data structure,测试套件结果创建事件数据,测试套件结果创建事件所携带的具体数据内容。
TestSuiteExecutionDeleteEvent,The notification data structure,测试套件执行删除事件,当一个测试套件执行被删除时，系统发出的通知事件。
TestSuiteExecutionCreateEventPayload,The event data structure,测试套件执行创建事件数据,测试套件执行创建事件所携带的具体数据内容。
TestSuiteExecutionCreateEvent,The notification data structure,测试套件执行创建事件,当一个测试套件执行被创建时，系统发出的通知事件。
TestCaseExecutionStateChangeEventPayload,The event data structure,测试用例执行状态变更事件数据,测试用例执行状态变更事件所携带的具体数据内容。
TestCaseExecutionStateChangeEvent,The notification data structure,测试用例执行状态变更事件,当一个测试用例执行的状态发生变化时，系统发出的通知事件。
TestCaseExecutionDeleteEventPayload,The event data structure,测试用例执行删除事件数据,测试用例执行删除事件所携带的具体数据内容。
TestCaseExecutionDeleteEvent,The notification data structure,测试用例执行删除事件,当一个测试用例执行被删除时，系统发出的通知事件。
TestCaseExecutionCreateEventPayload,The event data structure,测试用例执行创建事件数据,测试用例执行创建事件所携带的具体数据内容。
TestCaseExecutionCreateEvent,The notification data structure,测试用例执行创建事件,当一个测试用例执行被创建时，系统发出的通知事件。
TestEnvironmentProvisioningExecutionStateChangeEventPayload,The event data structure,测试环境部署执行状态变更事件数据,测试环境部署执行状态变更事件所携带的具体数据内容。
TestEnvironmentProvisioningExecutionStateChangeEvent,The notification data structure,测试环境部署执行状态变更事件,当一个测试环境部署执行的状态发生变化时，系统发出的通知事件。
TestEnvironmentProvisioningExecutionDeleteEventPayload,The event data structure,测试环境部署执行删除事件数据,测试环境部署执行删除事件所携带的具体数据内容。
TestEnvironmentProvisioningExecutionDeleteEvent,The notification data structure,测试环境部署执行删除事件,当一个测试环境部署执行被删除时，系统发出的通知事件。
TestEnvironmentProvisioningExecutionCreateEventPayload,The event data structure,测试环境部署执行创建事件数据,测试环境部署执行创建事件所携带的具体数据内容。
TestEnvironmentProvisioningExecutionCreateEvent,The notification data structure,测试环境部署执行创建事件,当一个测试环境部署执行被创建时，系统发出的通知事件。
TestEnvironmentAllocationExecutionStateChangeEventPayload,The event data structure,测试环境分配执行状态变更事件数据,测试环境分配执行状态变更事件所携带的具体数据内容。
TestScenarioDeleteEvent,The notification data structure,测试场景删除事件,当一个测试场景被删除时，系统发出的通知事件。
TestScenarioChangeEventPayload,The event data structure,测试场景变更事件数据,测试场景变更事件所携带的具体数据内容。
TestScenarioChangeEvent,The notification data structure,测试场景变更事件,当一个测试场景发生变更时，系统发出的通知事件。
TestScenarioCreateEventPayload,The event data structure,测试场景创建事件数据,测试场景创建事件所携带的具体数据内容。
TestScenarioCreateEvent,The notification data structure,测试场景创建事件,当一个测试场景被创建时，系统发出的通知事件。
TestScenarioDefinition,Test scenario definition,测试场景定义,测试场景的定义或模板。
TestScenario,A managed test scenario resource,测试场景,一个受管理的测试场景资源。
NonFunctionalTestExecutionStateChangeEventPayload,The event data structure,非功能性测试执行状态变更事件数据,非功能性测试执行状态变更事件所携带的具体数据内容。
NonFunctionalTestExecutionStateChangeEvent,The notification data structure,非功能性测试执行状态变更事件,当一个非功能性测试执行的状态发生变化时，系统发出的通知事件。
NonFunctionalTestExecutionDeleteEventPayload,The event data structure,非功能性测试执行删除事件数据,非功能性测试执行删除事件所携带的具体数据内容。
NonFunctionalTestExecutionDeleteEvent,The notification data structure,非功能性测试执行删除事件,当一个非功能性测试执行被删除时，系统发出的通知事件。
NonFunctionalTestExecutionCreateEventPayload,The event data structure,非功能性测试执行创建事件数据,非功能性测试执行创建事件所携带的具体数据内容。
NonFunctionalTestExecutionCreateEvent,The notification data structure,非功能性测试执行创建事件,当一个非功能性测试执行被创建时，系统发出的通知事件。
TestSuiteExecutionStateChangeEventPayload,The event data structure,测试套件执行状态变更事件数据,测试套件执行状态变更事件所携带的具体数据内容。
TestSuiteExecutionStateChangeEvent,The notification data structure,测试套件执行状态变更事件,当一个测试套件执行的状态发生变化时，系统发出的通知事件。
TestSuiteExecutionDeleteEventPayload,The event data structure,测试套件执行删除事件数据,测试套件执行删除事件所携带的具体数据内容。
GeneralTestArtifactStateChangeEvent,The notification data structure,通用测试工件状态变更事件,当一个通用测试工件的状态发生变化时，系统发出的通知事件。
GeneralTestArtifactAttributeValueChangeEventPayload,The event data structure,通用测试工件属性值变更事件数据,通用测试工件属性值变更事件所携带的具体数据内容。
GeneralTestArtifactAttributeValueChangeEvent,The notification data structure,通用测试工件属性值变更事件,当一个通用测试工件的属性值发生变化时，系统发出的通知事件。
GeneralTestArtifactDeleteEventPayload,The event data structure,通用测试工件删除事件数据,通用测试工件删除事件所携带的具体数据内容。
GeneralTestArtifactDeleteEvent,The notification data structure,通用测试工件删除事件,当一个通用测试工件被删除时，系统发出的通知事件。
GeneralTestArtifactChangeEventPayload,The event data structure,通用测试工件变更事件数据,通用测试工件变更事件所携带的具体数据内容。
GeneralTestArtifactChangeEvent,The notification data structure,通用测试工件变更事件,当一个通用测试工件发生变更时，系统发出的通知事件。
GeneralTestArtifactCreateEventPayload,The event data structure,通用测试工件创建事件数据,通用测试工件创建事件所携带的具体数据内容。
GeneralTestArtifactCreateEvent,The notification data structure,通用测试工件创建事件,当一个通用测试工件被创建时，系统发出的通知事件。
GeneralTestArtifactDefinition,General test artifact definition,通用测试工件定义,通用测试工件的定义或模板。
GeneralTestArtifact,A managed general test artifact resource,通用测试工件,一个受管理的通用测试工件资源。
TestScenarioStateChangeEventPayload,The event data structure,测试场景状态变更事件数据,测试场景状态变更事件所携带的具体数据内容。
TestScenarioStateChangeEvent,The notification data structure,测试场景状态变更事件,当一个测试场景的状态发生变化时，系统发出的通知事件。
TestScenarioAttributeValueChangeEventPayload,The event data structure,测试场景属性值变更事件数据,测试场景属性值变更事件所携带的具体数据内容。
TestScenarioAttributeValueChangeEvent,The notification data structure,测试场景属性值变更事件,当一个测试场景的属性值发生变化时，系统发出的通知事件。
TestScenarioDeleteEventPayload,The event data structure,测试场景删除事件数据,测试场景删除事件所携带的具体数据内容。
ShipmentSpecificationStateChangeEvent,The notification data structure,货运规约状态变更事件,当一个货运规约的状态发生变化时，系统发出的通知事件。
ShipmentSpecificationDeleteEventPayload,The event data structure,货运规约删除事件数据,货运规约删除事件所携带的具体数据内容。
ShipmentSpecificationDeleteEvent,The notification data structure,货运规约删除事件,当一个货运规约被删除时，系统发出的通知事件。
ShipmentSpecificationAttributeValueChangeEventPayload,The event data structure,货运规约属性值变更事件数据,货运规约属性值变更事件所携带的具体数据内容。
ShipmentSpecificationAttributeValueChangeEvent,The notification data structure,货运规约属性值变更事件,当一个货运规约的属性值发生变化时，系统发出的通知事件。
ShipmentSpecificationCreateEventPayload,The event data structure,货运规约创建事件数据,货运规约创建事件所携带的具体数据内容。
ShipmentSpecificationCreateEvent,The notification data structure,货运规约创建事件,当一个货运规约被创建时，系统发出的通知事件。
ShipmentStateChangeEventPayload,The event data structure,货运状态变更事件数据,货运状态变更事件所携带的具体数据内容。
ShipmentStateChangeEvent,The notification data structure,货运状态变更事件,当一个货运的状态发生变化时，系统发出的通知事件。
ShipmentDeleteEventPayload,The event data structure,货运删除事件数据,货运删除事件所携带的具体数据内容。
ShipmentDeleteEvent,The notification data structure,货运删除事件,当一个货运被删除时，系统发出的通知事件。
ShipmentAttributeValueChangeEventPayload,The event data structure,货运属性值变更事件数据,货运属性值变更事件所携带的具体数据内容。
ShipmentAttributeValueChangeEvent,The notification data structure,货运属性值变更事件,当一个货运的属性值发生变化时，系统发出的通知事件。
ShipmentCreateEventPayload,The event data structure,货运创建事件数据,货运创建事件所携带的具体数据内容。
ShipmentCreateEvent,The notification data structure,货运创建事件,当一个货运被创建时，系统发出的通知事件。
GeneralTestArtifactStateChangeEventPayload,The event data structure,通用测试工件状态变更事件数据,通用测试工件状态变更事件所携带的具体数据内容。
WorkSpecificationDeleteEvent,The notification data structure,工作单元规约删除事件,当一个工作单元规约被删除时，系统发出的通知事件。
WorkSpecificationAttributeValueChangeEventPayload,The event data structure,工作单元规约属性值变更事件数据,工作单元规约属性值变更事件所携带的具体数据内容。
WorkSpecificationAttributeValueChangeEvent,The notification data structure,工作单元规约属性值变更事件,当一个工作单元规约的属性值发生变化时，系统发出的通知事件。
WorkSpecificationCreateEventPayload,The event data structure,工作单元规约创建事件数据,工作单元规约创建事件所携带的具体数据内容。
WorkSpecificationCreateEvent,The notification data structure,工作单元规约创建事件,当一个工作单元规约被创建时，系统发出的通知事件。
WorkStateChangeEventPayload,The event data structure,工作单元状态变更事件数据,工作单元状态变更事件所携带的具体数据内容。
WorkStateChangeEvent,The notification data structure,工作单元状态变更事件,当一个工作单元的状态发生变化时，系统发出的通知事件。
WorkDeleteEventPayload,The event data structure,工作单元删除事件数据,工作单元删除事件所携带的具体数据内容。
WorkDeleteEvent,The notification data structure,工作单元删除事件,当一个工作单元被删除时，系统发出的通知事件。
WorkAttributeValueChangeEventPayload,The event data structure,工作单元属性值变更事件数据,工作单元属性值变更事件所携带的具体数据内容。
WorkAttributeValueChangeEvent,The notification data structure,工作单元属性值变更事件,当一个工作单元的属性值发生变化时，系统发出的通知事件。
WorkCreateEventPayload,The event data structure,工作单元创建事件数据,工作单元创建事件所携带的具体数据内容。
WorkCreateEvent,The notification data structure,工作单元创建事件,当一个工作单元被创建时，系统发出的通知事件。
WorkSpecificationRelationship,"A migration, substitution, dependency or exclusivity relationship between/among entity specifications.",工作单元规约关系,实体规约之间的迁移、替代、依赖或排他关系。
ShipmentSpecificationStateChangeEventPayload,The event data structure,货运规约状态变更事件数据,货运规约状态变更事件所携带的具体数据内容。
CheckWorkQualificationAttributeValueChangeEventPayload,The event data structure,检查工作资格属性值变更事件数据,检查工作资格属性值变更事件所携带的具体数据内容。
CheckWorkQualificationAttributeValueChangeEvent,The notification data structure,检查工作资格属性值变更事件,当一个检查工作资格请求的属性值发生变化时，系统发出的通知事件。
CheckWorkQualificationCreateEventPayload,The event data structure,检查工作资格创建事件数据,检查工作资格创建事件所携带的具体数据内容。
CheckWorkQualificationCreateEvent,The notification data structure,检查工作资格创建事件,当一个检查工作资格的请求被创建时，系统发出的通知事件。
WorkQualificationRelationship,Structure used to describe relationship between WorkQualification item from the same WorkQualification.,工作资格关系,描述同一次工作资格查询中不同查询项之间的关系。
WorkQualificationItemRelationship,Structure used to describe relationship between WorkQualification items from the same WorkQualification .,工作资格项关系,描述同一次工作资格查询中不同查询项之间的关系。
WorkQualificationItem,A WorkQualificationItem relates to a specific unit of work being checked in a qualification operation.,工作资格项,在一次资格操作中，与被检查的特定工作单元相关的项目。
WorkQualification,,工作资格,用于检查一个工作单元是否有效的资格查询。
WorkEligibilityUnavailabilityReason,Reason for eligibility result if the WorkQualification result is no (meaning the Unit of Work is not valid),工作资格不可用原因,当工作资格查询结果为“否”时的原因说明。
QueryWorkQualification,QueryWorkQualification is used to retrieve a list of units of work that are valid in the context of the interaction,查询工作资格,用于检索在特定交互上下文中有效的工作单元列表。
CheckWorkQualificationItem,A WorkQualificationItem relates to a specific unit of work being checked in a qualification operation.,检查工作资格项,在一次资格操作中，与被检查的特定工作单元相关的项目。
CheckWorkQualification,CheckWorkQualification is used to validate specific units of work,检查工作资格,用于验证特定工作单元的操作。
AlternateWorkProposal,Alternate work proposal is used when the requested unit of work is not valid as specified in the request. An alternate proposal could be a distinct workSpecification close to the requested one or the same specification as requested but with a different parameters.,备选工作建议,当请求的工作单元无效时，提出的备选工作方案。
WorkSpecificationStateChangeEventPayload,The event data structure,工作单元规约状态变更事件数据,工作单元规约状态变更事件所携带的具体数据内容。
WorkSpecificationStateChangeEvent,The notification data structure,工作单元规约状态变更事件,当一个工作单元规约的状态发生变化时，系统发出的通知事件。
WorkSpecificationDeleteEventPayload,The event data structure,工作单元规约删除事件数据,工作单元规约删除事件所携带的具体数据内容。
WarrantySpecification,,保修规约,保修的规约（模板），定义了一类保修的通用条款。
WarrantyRelationship,"Linked products to the one instantiate, such as [bundled] if the product is a bundle and you want to describe the bundled products inside this bundle; [reliesOn] if the product needs another already owned product to rely on (e.g. an option on an already owned mobile access product) [targets] or [isTargeted] (depending on the way of expressing the link) for any other kind of links that may be useful",保修关系,与实例化的产品相关的链接产品，例如组合产品中的子产品。
Warranty,,保修,描述一次具体的产品或服务保修。
MEntity,"MEntity represents an entity that describes the common set of attributes shared by all concrete entities (e.g. Resource, Service, ..) in the Entity Inventory.",M实体,（应为ManagedEntity）代表了库存中所有具体实体（如资源、服务）共享的通用属性集合。
QueryWorkQualificationDeleteEventPayload,The event data structure,查询工作资格删除事件数据,查询工作资格删除事件所携带的具体数据内容。
QueryWorkQualificationDeleteEvent,The notification data structure,查询工作资格删除事件,当一个查询工作资格的请求被删除时，系统发出的通知事件。
QueryWorkQualificationStateChangeEventPayload,The event data structure,查询工作资格状态变更事件数据,查询工作资格状态变更事件所携带的具体数据内容。
QueryWorkQualificationStateChangeEvent,The notification data structure,查询工作资格状态变更事件,当一个查询工作资格请求的状态发生变化时，系统发出的通知事件。
QueryWorkQualificationCreateEventPayload,The event data structure,查询工作资格创建事件数据,查询工作资格创建事件所携带的具体数据内容。
QueryWorkQualificationCreateEvent,The notification data structure,查询工作资格创建事件,当一个查询工作资格的请求被创建时，系统发出的通知事件。
CheckWorkQualificationInformationRequiredEventPayload,The event data structure,检查工作资格需要补充信息事件数据,检查工作资格需要补充信息事件所携带的具体数据内容。
CheckWorkQualificationInformationRequiredEvent,The notification data structure,检查工作资格需要补充信息事件,当检查工作资格流程因缺少信息而暂停时，系统发出的通知事件。
CheckWorkQualificationDeleteEventPayload,The event data structure,检查工作资格删除事件数据,检查工作资格删除事件所携带的具体数据内容。
CheckWorkQualificationDeleteEvent,The notification data structure,检查工作资格删除事件,当一个检查工作资格的请求被删除时，系统发出的通知事件。
CheckWorkQualificationStateChangeEventPayload,The event data structure,检查工作资格状态变更事件数据,检查工作资格状态变更事件所携带的具体数据内容。
CheckWorkQualificationStateChangeEvent,The notification data structure,检查工作资格状态变更事件,当一个检查工作资格请求的状态发生变化时，系统发出的通知事件。
WarrantySpecificationDeleteEvent,The notification data structure,保修规约删除事件,当一个保修规约被删除时，系统发出的通知事件。
WarrantySpecificationAttributeValueChangeEventPayload,The event data structure,保修规约属性值变更事件数据,保修规约属性值变更事件所携带的具体数据内容。
WarrantySpecificationAttributeValueChangeEvent,The notification data structure,保修规约属性值变更事件,当一个保修规约的属性值发生变化时，系统发出的通知事件。
WarrantySpecificationCreateEventPayload,The event data structure,保修规约创建事件数据,保修规约创建事件所携带的具体数据内容。
WarrantySpecificationCreateEvent,The notification data structure,保修规约创建事件,当一个保修规约被创建时，系统发出的通知事件。
WarrantyStateChangeEventPayload,The event data structure,保修状态变更事件数据,保修状态变更事件所携带的具体数据内容。
WarrantyStateChangeEvent,The notification data structure,保修状态变更事件,当一个保修的状态发生变化时，系统发出的通知事件。
WarrantyDeleteEventPayload,The event data structure,保修删除事件数据,保修删除事件所携带的具体数据内容。
WarrantyDeleteEvent,The notification data structure,保修删除事件,当一个保修被删除时，系统发出的通知事件。
WarrantyAttributeValueChangeEventPayload,The event data structure,保修属性值变更事件数据,保修属性值变更事件所携带的具体数据内容。
WarrantyAttributeValueChangeEvent,The notification data structure,保修属性值变更事件,当一个保修的属性值发生变化时，系统发出的通知事件。
WarrantyCreateEventPayload,The event data structure,保修创建事件数据,保修创建事件所携带的具体数据内容。
WarrantyCreateEvent,The notification data structure,保修创建事件,当一个保修被创建时，系统发出的通知事件。
WarrantyStateType,Valid values for the lifecycle state of the service,保修状态类型,定义了服务的生命周期状态。
WarrantySpecificationRelationship,"A migration, substitution, dependency or exclusivity relationship between/among entity specifications.",保修规约关系,实体规约之间的迁移、替代、依赖或排他关系。
WarrantySpecificationRef,,保修规约引用,用于简要引用一个保修规约（模板）。
ResourceReservation,,资源预留,资源预留的请求。
ReservationStateType,,预留状态类型,定义了预留的生命周期状态。
ReservationItemStateType,,预留项状态类型,定义了预留项的生命周期状态。
ReservationItemActionType,action to be performed on the entity,预留项动作类型,将对实体执行的动作类型。
ReservationItem,An identified part of the reservation. A reservation is decomposed into one or more reservation items.,预留项,预留中的一个已识别部分。一个预留被分解为一个或多个预留项。
Reservation,reservation api resource,预留,预留的API资源。
CapacitySpecRef,,容量规约引用,用于简要引用一个容量规约（模板）。
CapacityRef,,容量引用,用于简要引用一个容量。
CapacityAmount,Quantity that defines the Capacity.,容量大小,定义容量的数量。
CancelResourceReservation,,取消资源预留,用于请求取消一个资源预留。
CancelReservation,A Cancel Reservation is a type of task which  can  be used to place a request to cancel a reservation,取消预留,一种可用于请求取消预留的任务类型。
WarrantySpecificationStateChangeEventPayload,The event data structure,保修规约状态变更事件数据,保修规约状态变更事件所携带的具体数据内容。
WarrantySpecificationStateChangeEvent,The notification data structure,保修规约状态变更事件,当一个保修规约的状态发生变化时，系统发出的通知事件。
WarrantySpecificationDeleteEventPayload,The event data structure,保修规约删除事件数据,保修规约删除事件所携带的具体数据内容。
CancelResourceReservationStateChangeEventPayload,The event data structure,取消资源预留状态变更事件数据,取消资源预留状态变更事件所携带的具体数据内容。
CancelResourceReservationStateChangeEvent,The notification data structure,取消资源预留状态变更事件,当一个取消资源预留请求的状态发生变化时，系统发出的通知事件。
CancelResourceReservationCreateEventPayload,The event data structure,取消资源预留创建事件数据,取消资源预留创建事件所携带的具体数据内容。
CancelResourceReservationCreateEvent,The notification data structure,取消资源预留创建事件,当一个取消资源预留的请求被创建时，系统发出的通知事件。
ResourceReservationInformationRequiredEventPayload,The event data structure,资源预留需要补充信息事件数据,资源预留需要补充信息事件所携带的具体数据内容。
ResourceReservationInformationRequiredEvent,The notification data structure,资源预留需要补充信息事件,当资源预留流程因缺少信息而暂停时，系统发出的通知事件。
ResourceReservationStateChangeEventPayload,The event data structure,资源预留状态变更事件数据,资源预留状态变更事件所携带的具体数据内容。
ResourceReservationStateChangeEvent,The notification data structure,资源预留状态变更事件,当一个资源预留的状态发生变化时，系统发出的通知事件。
ResourceReservationDeleteEventPayload,The event data structure,资源预留删除事件数据,资源预留删除事件所携带的具体数据内容。
ResourceReservationDeleteEvent,The notification data structure,资源预留删除事件,当一个资源预留被删除时，系统发出的通知事件。
ResourceReservationAttributeValueChangeEventPayload,The event data structure,资源预留属性值变更事件数据,资源预留属性值变更事件所携带的具体数据内容。
ResourceReservationAttributeValueChangeEvent,The notification data structure,资源预留属性值变更事件,当一个资源预留的属性值发生变化时，系统发出的通知事件。
ResourceReservationCreateEventPayload,The event data structure,资源预留创建事件数据,资源预留创建事件所携带的具体数据内容。
ResourceReservationCreateEvent,The notification data structure,资源预留创建事件,当一个资源预留被创建时，系统发出的通知事件。
ResourceReservationRef,,资源预留引用,用于简要引用一个资源预留。
ResourceReservationItem,,资源预留项,资源预留中的具体项目。
Customer360ProductValueVO,A product offering procured by a customer or other interested party playing a party role. A product is realized as one or more service(s) and / or resource(s).,客户360-产品值,由客户或其他相关方采购的一个产品目录。一个产品通过一个或多个服务和/或资源来实现。
Customer360LoyaltyBalanceVO,"A loyalty balance, containing a balance unit and value.",客户360-忠诚度余额,一个忠诚度余额，包含余额单位和数值。
CancelResourceReservationInformationRequiredEventPayload,The event data structure,取消资源预留需要补充信息事件数据,取消资源预留需要补充信息事件所携带的具体数据内容。
CancelResourceReservationInformationRequiredEvent,The notification data structure,取消资源预留需要补充信息事件,当取消资源预留流程因缺少信息而暂停时，系统发出的通知事件。
PhoneMedium,Describes a phone number that could be used to contact a party (an individual or an organization),电话媒介,描述可用于联系一个参与方（个人或组织）的电话号码。
EmailMedium,Describes an email that could be used to contact a party (an individual or an organization),邮件媒介,描述可用于联系一个参与方（个人或组织）的电子邮箱。
DigitalIdentityContactMedium,Indicates the contact medium that could be used to contact the party.,数字身份联系媒介,表明可用于联系参与方的联系媒介。
RelatedEntityRef,"A reference to an entity, where the type of the entity is not known in advance.",关联实体引用,对一个实体的引用，其实体类型预先未知。
IncidentCreateEvent,The notification data structure,事件创建事件,当一个事件（Incident）被创建时，系统发出的通知事件。
UrgencyType,Possible values for the urgency of an Incident,紧急度类型,定义了事件（Incident）的紧急程度。
RootCause,"The name of RootCause, for example:Power Down",根本原因,根本原因的名称，例如“断电”。
ResolveIncident,"An incident resolution is an action taken to resolve/repair the root cause of an incident or problem, or to implement a workaround",解决事件,为解决事件或问题的根本原因而采取的行动，或实施的临时解决方案。
PriorityType,Possible values for the Priority of an Incident,优先级类型,定义了事件（Incident）的优先级。
IncidentStateType,Possible values for the state of an Incident,事件状态类型,定义了事件（Incident）在其生命周期中所处的各种状态。
